place,Jurisdiction,Age,Females,Males,year
3455,Arvada,0-4,3152,3199,2010
4000,Aurora,0-4,13069,14822,2010
6090,Bennett,0-4,55,133,2010
7025,Black Hawk,0-4,0,9,2010
7850,Boulder City,0-4,1852,2150,2010
8001,Adams County,0-4,18508,19375,2010
8005,Arapahoe County,0-4,19399,20611,2010
8013,Boulder County,0-4,8195,8630,2010
8014,Broomfield City/County,0-4,1940,1942,2010
8019,Clear Creek County,0-4,212,261,2010
8031,Denver City/County,0-4,21013,21924,2010
8035,Douglas County,0-4,11034,11468,2010
8047,Gilpin County,0-4,125,120,2010
8059,Jefferson County,0-4,14887,15760,2010
8070,Bow Mar,0-4,18,35,2010
8123,Weld County,0-4,9771,10268,2010
8675,Brighton,0-4,1603,1328,2010
12387,Castle Pines,0-4,169,103,2010
12390,Castle Pines North,0-4,536,366,2010
12415,Castle Rock,0-4,2177,2371,2010
12815,Centennial,0-4,2359,2776,2010
12910,Central City,0-4,17,0,2010
13845,Cherry Hills Village,0-4,137,123,2010
16385,Columbine Valley,0-4,15,15,2010
16495,Commerce City,0-4,2753,2415,2010
19080,Dacono,0-4,90,286,2010
19630,Deer Trail,0-4,0,21,2010
23135,Edgewater,0-4,124,291,2010
23740,Elizabeth,0-4,73,100,2010
24620,Empire,0-4,7,5,2010
24785,Englewood,0-4,1111,815,2010
24950,Erie,0-4,655,715,2010
26270,Federal Heights,0-4,600,496,2010
26600,Firestone,0-4,590,466,2010
27700,Fort Lupton,0-4,289,372,2010
28105,Foxfield,0-4,13,4,2010
28360,Frederick,0-4,452,292,2010
29735,Georgetown,0-4,13,42,2010
30340,Glendale,0-4,202,74,2010
30835,Golden,0-4,304,563,2010
33035,Greenwood Village,0-4,166,216,2010
37820,Hudson,0-4,80,90,2010
38370,Idaho Springs,0-4,30,72,2010
39195,Jamestown,0-4,0,0,2010
40185,Keenesburg,0-4,32,36,2010
40790,Kiowa,0-4,11,6,2010
41835,Lafayette,0-4,875,1104,2010
42495,Lakeside,0-4,0,0,2010
43000,Lakewood,0-4,4003,4175,2010
43550,Larkspur,0-4,11,17,2010
45255,Littleton,0-4,1150,1214,2010
45955,Lone Tree,0-4,389,270,2010
45970,Longmont,0-4,3380,3118,2010
46355,Louisville,0-4,627,567,2010
47070,Lyons,0-4,61,63,2010
49600,Mead,0-4,128,48,2010
52075,Morrison,0-4,0,0,2010
52350,Mountain View,0-4,0,28,2010
53175,Nederland,0-4,99,47,2010
54330,Northglenn,0-4,1351,1565,2010
57630,Parker,0-4,2132,2024,2010
60160,Platteville,0-4,113,112,2010
69645,Sheridan,0-4,274,171,2010
70360,Silver Plume,0-4,10,0,2010
75640,Superior,0-4,297,439,2010
77290,Thornton,0-4,4743,4847,2010
82735,Ward,0-4,0,0,2010
83835,Westminster,0-4,3824,3822,2010
84440,Wheat Ridge,0-4,617,832,2010
8124,Weld County (DRCOG),0-4,2355,2208,2010
8000,Region,0-4,97668,102299,2010
3455,Arvada,5-9,3395,3107,2010
4000,Aurora,5-9,11506,13287,2010
6090,Bennett,5-9,96,104,2010
7025,Black Hawk,5-9,0,0,2010
7850,Boulder City,5-9,2105,1971,2010
8001,Adams County,5-9,16867,17665,2010
8005,Arapahoe County,5-9,19466,21645,2010
8013,Boulder County,5-9,8741,9183,2010
8014,Broomfield City/County,5-9,2028,1845,2010
8019,Clear Creek County,5-9,172,207,2010
8031,Denver City/County,5-9,17979,17693,2010
8035,Douglas County,5-9,13133,12246,2010
8047,Gilpin County,5-9,112,129,2010
8059,Jefferson County,5-9,15507,16376,2010
8070,Bow Mar,5-9,42,20,2010
8123,Weld County,5-9,10533,10360,2010
8675,Brighton,5-9,1168,1430,2010
12387,Castle Pines,5-9,115,154,2010
12390,Castle Pines North,5-9,611,482,2010
12415,Castle Rock,5-9,2203,2050,2010
12815,Centennial,5-9,3683,3607,2010
12910,Central City,5-9,18,13,2010
13845,Cherry Hills Village,5-9,202,254,2010
16385,Columbine Valley,5-9,44,35,2010
16495,Commerce City,5-9,2128,2144,2010
19080,Dacono,5-9,367,165,2010
19630,Deer Trail,5-9,2,13,2010
23135,Edgewater,5-9,238,228,2010
23740,Elizabeth,5-9,72,45,2010
24620,Empire,5-9,0,0,2010
24785,Englewood,5-9,772,949,2010
24950,Erie,5-9,650,934,2010
26270,Federal Heights,5-9,316,415,2010
26600,Firestone,5-9,530,556,2010
27700,Fort Lupton,5-9,290,456,2010
28105,Foxfield,5-9,21,55,2010
28360,Frederick,5-9,365,404,2010
29735,Georgetown,5-9,45,35,2010
30340,Glendale,5-9,87,100,2010
30835,Golden,5-9,336,574,2010
33035,Greenwood Village,5-9,472,453,2010
37820,Hudson,5-9,43,50,2010
38370,Idaho Springs,5-9,16,99,2010
