place,Jurisdiction,Name,Value,year,Jurisdiction 2
3455,Arvada,ACS Population,104641.0,2010,Arvada
4000,Aurora,ACS Population,311535.0,2010,Aurora
6090,Bennett,ACS Population,2186.0,2010,Bennett
7025,Black Hawk,ACS Population,151.0,2010,Black Hawk
7850,Boulder City,ACS Population,86781.0,2010,Boulder City
8001,Adams County,ACS Population,422042.0,2010,Adams County
8005,Arapahoe County,ACS Population,547460.0,2010,Arapahoe County
8013,Boulder County,ACS Population,278976.0,2010,Boulder County
8014,Broomfield City/County,ACS Population,52872.0,2010,Broomfield City/County
8019,Clear Creek County,ACS Population,9079.0,2010,Clear Creek County
8031,Denver City/County,ACS Population,565752.0,2010,Denver City/County
8035,Douglas County,ACS Population,272603.0,2010,Douglas County
8047,Gilpin County,ACS Population,5116.0,2010,Gilpin County
8059,Jefferson County,ACS Population,521938.0,2010,Jefferson County
8070,Bow Mar,ACS Population,962.0,2010,Bow Mar
8123,Weld County,ACS Population,237763.0,2010,Weld County
8675,Brighton,ACS Population,29770.0,2010,Brighton
12390,Castle Pines North,ACS Population,9409.0,2010,Castle Pines North
12415,Castle Rock,ACS Population,43734.0,2010,Castle Rock
12815,Centennial,ACS Population,99670.0,2010,Centennial
12910,Central City,ACS Population,520.0,2010,Central City
13845,Cherry Hills Village,ACS Population,5936.0,2010,Cherry Hills Village
16385,Columbine Valley,ACS Population,1275.0,2010,Columbine Valley
16495,Commerce City,ACS Population,41216.0,2010,Commerce City
19080,Dacono,ACS Population,4031.0,2010,Dacono
19630,Deer Trail,ACS Population,365.0,2010,Deer Trail
23135,Edgewater,ACS Population,5170.0,2010,Edgewater
23740,Elizabeth,ACS Population,1421.0,2010,Elizabeth
24620,Empire,ACS Population,339.0,2010,Empire
24785,Englewood,ACS Population,29891.0,2010,Englewood
24950,Erie,ACS Population,16134.0,2010,Erie
26270,Federal Heights,ACS Population,11586.0,2010,Federal Heights
26600,Firestone,ACS Population,8866.0,2010,Firestone
27700,Fort Lupton,ACS Population,7422.0,2010,Fort Lupton
28105,Foxfield,ACS Population,855.0,2010,Foxfield
28360,Frederick,ACS Population,7710.0,2010,Frederick
29735,Georgetown,ACS Population,1285.0,2010,Georgetown
30340,Glendale,ACS Population,4165.0,2010,Glendale
30835,Golden,ACS Population,17369.0,2010,Golden
33035,Greenwood Village,ACS Population,13286.0,2010,Greenwood Village
37820,Hudson,ACS Population,1594.0,2010,Hudson
38370,Idaho Springs,ACS Population,2018.0,2010,Idaho Springs
39195,Jamestown,ACS Population,278.0,2010,Jamestown
40185,Keenesburg,ACS Population,1142.0,2010,Keenesburg
40790,Kiowa,ACS Population,627.0,2010,Kiowa
41835,Lafayette,ACS Population,24187.0,2010,Lafayette
42495,Lakeside,ACS Population,19.0,2010,Lakeside
43000,Lakewood,ACS Population,137942.0,2010,Lakewood
43550,Larkspur,ACS Population,173.0,2010,Larkspur
45255,Littleton,ACS Population,40320.0,2010,Littleton
45955,Lone Tree,ACS Population,9890.0,2010,Lone Tree
45970,Longmont,ACS Population,83000.0,2010,Longmont
46355,Louisville,ACS Population,18142.0,2010,Louisville
47070,Lyons,ACS Population,1565.0,2010,Lyons
49600,Mead,ACS Population,3241.0,2010,Mead
52075,Morrison,ACS Population,205.0,2010,Morrison
52350,Mountain View,ACS Population,593.0,2010,Mountain View
53175,Nederland,ACS Population,1334.0,2010,Nederland
54330,Northglenn,ACS Population,34790.0,2010,Northglenn
57630,Parker,ACS Population,42548.0,2010,Parker
60160,Platteville,ACS Population,2526.0,2010,Platteville
69645,Sheridan,ACS Population,5621.0,2010,Sheridan
